generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
11170,25341,4527,0,0,141356,35617,0,0,470477,95433,0,0,27936,5199,0,0,12608,2697,0,0,31751,7625,0,0,0.2514,0.2061,0.1865,0.0603,0.0450,0.0317,0.0089,0.0021,0.0003,0.0000,0.0006,0.0016,0.0009,0.0017,0.0005,0.0000,0.0001,0.0001,0.0005,0.0003,0.0012,0.0003
11180,21252,7494,0,0,138628,54387,0,0,407980,139072,0,0,26336,8065,0,0,10293,4155,0,0,27893,9968,0,0,0.2447,0.2061,0.1880,0.0692,0.0575,0.0355,0.0060,0.0003,0.0000,0.0005,0.0005,0.0000,0.0005,0.0015,0.0000,0.0002,0.0003,0.0007,0.0001,0.0018,0.0006,0.0004
11190,24589,6023,0,0,144479,41345,0,0,435209,108729,0,0,33631,7699,0,0,11567,2697,0,0,32006,8509,0,0,0.2634,0.2069,0.1921,0.0688,0.0612,0.0423,0.0030,0.0005,0.0000,0.0001,0.0000,0.0001,0.0004,0.0010,0.0009,0.0001,0.0001,0.0001,0.0001,0.0000,0.0004,0.0003
11200,14538,9171,0,0,86837,108146,1,0,289191,214625,0,0,21536,13057,0,0,6126,4235,0,0,20325,21030,0,0,0.2620,0.2026,0.1916,0.0662,0.0628,0.0392,0.0356,0.0142,0.0008,0.0000,0.0003,0.0075,0.0083,0.0159,0.0107,0.0011,0.0012,0.0002,0.0034,0.0005,0.0087,0.0050
11210,21788,4217,0,0,138171,34632,0,0,460743,101856,0,0,30097,6446,0,0,11876,2416,0,0,34597,8643,0,0,0.2438,0.2086,0.1946,0.0582,0.0437,0.0432,0.0420,0.0012,0.0003,0.0002,0.0000,0.0012,0.0003,0.0005,0.0008,0.0000,0.0000,0.0001,0.0003,0.0000,0.0005,0.0008
11220,15730,3426,0,0,136938,41936,0,0,441231,114864,0,0,29377,6238,0,0,9715,2452,0,0,47600,13418,0,0,0.2591,0.2060,0.1993,0.0577,0.0586,0.0361,0.0005,0.0024,0.0006,0.0000,0.0004,0.0013,0.0006,0.0027,0.0008,0.0002,0.0008,0.0000,0.0001,0.0006,0.0016,0.0003
11230,17649,3745,0,0,124051,34594,0,0,457470,111402,0,0,31548,7073,0,0,10565,2258,0,0,54744,13959,0,0,0.2587,0.2034,0.2014,0.0702,0.0564,0.0482,0.0002,0.0015,0.0004,0.0001,0.0000,0.0006,0.0004,0.0010,0.0014,0.0002,0.0001,0.0003,0.0000,0.0000,0.0003,0.0006
11240,15066,1867,0,0,116320,16008,0,0,536739,74202,0,0,36085,4908,0,0,11675,1545,0,0,57498,8364,0,0,0.2660,0.2134,0.2034,0.0712,0.0636,0.0504,0.0051,0.0001,0.0002,0.0001,0.0001,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001
11250,8095,5286,8,0,75370,57287,65,0,351031,227128,196,0,28328,14439,10,0,7991,5282,9,0,33548,22972,11,0,0.2441,0.2114,0.2031,0.0781,0.0658,0.0423,0.0518,0.0007,0.0000,0.0018,0.0000,0.0001,0.0008,0.0047,0.0006,0.0004,0.0017,0.0000,0.0001,0.0020,0.0025,0.0001
11260,11160,3254,0,0,111541,32528,0,0,470569,105555,0,0,32598,7373,0,0,9002,2035,0,0,53370,14102,0,0,0.2633,0.2084,0.2056,0.0789,0.0607,0.0427,0.0227,-0.0000,0.0014,0.0013,0.0013,0.0002,0.0014,0.0013,0.0013,0.0002,0.0000,0.0000,0.0005,0.0000,0.0005,0.0005
11270,9206,2924,0,0,120699,51096,0,0,402992,152855,0,0,28629,11856,0,0,8146,3190,0,0,42514,16898,0,0,0.2671,0.2120,0.2069,0.0764,0.0615,0.0380,0.0047,0.0020,0.0008,0.0017,0.0011,0.0012,0.0003,0.0000,0.0002,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000
11280,10305,3424,0,0,119366,43716,0,0,436402,145365,0,0,30928,9195,0,0,6830,2456,0,0,39920,12888,0,0,0.2470,0.2098,0.2021,0.0644,0.0525,0.0357,0.0008,0.0002,0.0000,0.0003,0.0001,0.0000,0.0002,0.0010,0.0000,0.0004,0.0003,0.0001,0.0000,0.0008,0.0002,0.0003
11290,9691,3309,0,0,101080,49153,0,0,411829,157856,0,0,28657,11166,0,0,8041,3264,0,0,25818,11477,0,0,0.2373,0.2098,0.1970,0.0768,0.0609,0.0417,0.0012,0.0032,0.0003,0.0004,0.0007,0.0018,0.0015,0.0013,0.0009,0.0002,0.0000,0.0001,0.0006,0.0000,0.0005,0.0002
11300,11695,2070,0,0,121672,27082,0,0,505000,96173,0,0,42905,7818,0,0,8925,1785,0,0,38246,6960,0,0,0.2386,0.2119,0.2022,0.0789,0.0650,0.0456,0.0120,0.0009,0.0001,0.0000,0.0002,0.0000,0.0004,0.0007,0.0002,0.0007,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001
11310,6489,4696,2,0,82674,103035,98,0,271790,219891,190,0,22631,16873,14,0,4590,3932,2,0,20356,25099,54,0,0.2429,0.2069,0.1979,0.0720,0.0677,0.0320,0.0606,0.0092,0.0004,0.0000,0.0009,0.0090,0.0058,0.0082,0.0044,0.0001,0.0002,0.0001,0.0056,0.0006,0.0080,0.0043
11320,11167,4955,0,0,118907,79715,0,0,350192,179559,0,0,30238,13434,0,0,5365,2620,0,0,25082,18410,0,0,0.2463,0.2052,0.1975,0.0746,0.0543,0.0326,0.0085,0.0048,0.0006,0.0000,0.0002,0.0073,0.0021,0.0048,0.0029,0.0002,0.0006,0.0001,0.0038,0.0002,0.0072,0.0048
11330,14470,3562,0,0,131152,38156,0,0,455561,111427,0,0,36371,8389,0,0,10787,2664,0,0,33860,8884,0,0,0.2416,0.2100,0.1966,0.0779,0.0623,0.0353,0.0146,0.0006,0.0000,0.0001,0.0000,0.0001,0.0006,0.0011,0.0006,0.0002,0.0001,0.0000,0.0001,0.0001,0.0003,0.0001
11340,7538,7361,36,0,77818,120646,746,0,230552,260085,1099,0,20186,21265,112,0,4759,5350,29,0,18723,35262,204,0,0.2468,0.2086,0.2039,0.0922,0.0763,0.0370,0.0701,0.0066,0.0006,0.0002,0.0006,0.0130,0.0032,0.0046,0.0032,0.0011,0.0002,0.0000,0.0079,0.0001,0.0102,0.0080
11350,16676,3059,0,0,169754,32464,0,0,445951,88520,0,0,39074,7142,0,0,8307,1403,0,0,41013,8173,0,0,0.2506,0.2124,0.2054,0.0890,0.0596,0.0385,0.0919,0.0000,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0002,0.0000,0.0001,0.0004,0.0000,0.0001,0.0001,0.0004
11360,14800,3351,0,0,129039,37052,0,0,444812,111358,0,0,45077,12021,0,0,9591,2386,0,0,34491,9954,0,0,0.2413,0.2148,0.2028,0.0967,0.0697,0.0409,0.0021,0.0011,0.0002,0.0005,0.0002,0.0012,0.0004,0.0001,0.0004,0.0000,0.0001,0.0000,0.0004,0.0001,0.0001,0.0005
