generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
52960,1251.4,2528.1,835590,0.4090,0.0011,0.3718,0.2888,0.1700,0.0336,2.9807,0.7320,-0.1482,0.0000,0.0000,8.6,7,10,4.7,2,11,773,1.5970,510,0.1198
52970,1719.2,3400.0,834187,0.5960,0.0005,0.3367,0.2536,0.0821,0.0388,3.5297,0.7227,-0.1963,0.0000,0.0000,8.6,7,11,4.7,2,11,907,1.5965,496,0.1031
52980,1518.9,3150.0,810577,0.4127,0.0006,0.3358,0.2497,0.1376,0.0275,3.4591,0.7808,-0.2631,0.0000,0.0000,8.7,6,10,4.6,2,11,882,1.6077,511,0.1097
52990,1605.2,3300.0,822767,0.3951,0.0026,0.3313,0.2256,0.0349,0.0217,3.7218,0.7371,-0.2570,0.0000,0.0000,8.7,5,12,4.8,2,11,822,1.5858,466,0.1099
53000,1655.9,3525.6,816183,0.5249,0.0006,0.3356,0.2534,0.0968,0.0000,3.7162,0.7147,-0.3507,0.0000,0.0000,8.6,7,10,4.7,2,12,893,1.6014,441,0.1059
53010,1750.9,3400.0,845999,0.4919,0.0017,0.3369,0.2565,0.1832,0.0000,3.7411,0.7326,-0.1627,0.0000,0.0000,8.6,6,10,4.8,2,12,801,1.5737,289,0.1070
53020,1701.1,3379.6,836955,0.4693,0.0007,0.3325,0.2550,0.1117,0.0000,3.9352,0.7238,-0.1531,0.0000,0.0000,8.6,6,11,4.7,2,12,859,1.5719,509,0.1051
53030,1674.8,3350.0,836300,0.4478,0.0014,0.3365,0.2583,0.2148,0.0000,3.9671,0.6847,-0.1953,0.0000,0.0000,8.6,6,11,4.7,2,10,842,1.5820,516,0.1105
53040,1819.8,3450.0,861451,0.5046,0.0007,0.3339,0.2511,0.1286,0.0000,3.9895,0.7498,-0.1702,0.0000,0.0000,8.6,6,11,4.5,2,10,902,1.5545,527,0.1066
53050,1770.4,3600.0,840012,0.4564,0.0007,0.3296,0.2575,0.0834,0.0000,4.1062,0.7236,-0.2578,0.0000,0.0000,8.6,5,11,4.8,2,11,883,1.5917,351,0.1078
53060,1605.1,3500.0,835617,0.4888,0.0012,0.3341,0.2548,0.1360,0.0000,3.4822,0.7313,-0.2175,0.0000,0.0000,8.7,6,11,4.7,2,12,816,1.5976,541,0.1143
53070,1598.8,3850.0,818726,0.3761,0.0017,0.3286,0.2519,0.1160,0.0000,2.4412,0.7604,-0.1862,0.0000,0.0000,8.6,6,10,4.7,2,11,919,1.5904,510,0.1098
