generation,mi_pred_dx,mi_pred_dy,mi_pred_dist,mi_food_dx,mi_food_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_energy
122,0.0900,0.0326,0.1661,0.0653,0.1867,0.0208,0.0927,0.0745,0.1114,0.1949,0.0502,0.0024,0.1318,0.0035,0.0216,0.0491
123,0.0270,0.0192,0.0503,0.0323,0.0609,0.0675,0.0078,0.0057,0.0078,0.1027,0.0636,0.1646,0.5151,0.0355,0.0522,0.1109
124,0.0300,0.0225,0.0451,0.0433,0.0340,0.0503,0.0749,0.0157,0.0335,0.1066,0.0552,0.1354,0.3271,0.0381,0.0175,0.1171
125,0.0319,0.0140,0.0629,0.0344,0.0812,0.0195,0.1380,0.0599,0.0871,0.1820,0.0132,0.0114,0.0197,0.0086,0.0108,0.0360
126,0.0541,0.0342,0.1011,0.0159,0.0265,0.0099,0.0625,0.0345,0.0281,0.1448,0.0001,0.0164,0.0000,0.0000,0.0000,0.0790
127,0.0848,0.0751,0.2552,0.0621,0.0345,0.0418,0.1245,0.0085,0.1054,0.0987,0.0039,0.0459,0.1141,0.0448,0.0109,0.0881
128,0.0595,0.0494,0.0884,0.0638,0.0450,0.0538,0.2210,0.0275,0.0331,0.2293,0.0225,0.0953,0.2236,0.0022,0.0047,0.0735
129,0.0706,0.0403,0.1041,0.0523,0.0317,0.0437,0.1249,0.0236,0.0926,0.2159,0.0360,0.0818,0.3340,0.0258,0.0014,0.0411
130,0.0576,0.0365,0.0963,0.0143,0.0972,0.1173,0.0335,0.0167,0.0088,0.1120,0.0193,0.1004,0.4296,0.0099,0.0011,0.0357
131,0.0476,0.0285,0.1559,0.0724,0.0635,0.0235,0.0102,0.0095,0.0328,0.1588,0.0202,0.0121,0.1207,0.0061,0.0147,0.1220
132,0.0662,0.0318,0.1532,0.0210,0.0484,0.0529,0.0209,0.0261,0.0604,0.1047,0.0069,0.0270,0.0634,0.0024,0.0103,0.1157
133,0.0273,0.0666,0.0871,0.0704,0.0320,0.0164,0.1133,0.0468,0.0471,0.1950,0.0746,0.0330,0.0800,0.0064,0.0249,0.0389
134,0.0545,0.0112,0.0433,0.0156,0.0433,0.0696,0.2555,0.0218,0.0068,0.3007,0.1982,0.1110,0.4812,0.0570,0.0891,0.1380
135,0.0021,0.0085,0.0249,0.0132,0.0802,0.0357,0.2376,0.0763,0.1458,0.2415,0.0507,0.1003,0.2637,0.1855,0.2437,0.0441
136,0.0666,0.0505,0.0962,0.0097,0.0744,0.0598,0.0680,0.0328,0.0403,0.1221,0.0743,0.0737,0.0406,0.0073,0.0050,0.0497
137,0.0471,0.0422,0.0507,0.0294,0.0763,0.0179,0.1085,0.0289,0.0523,0.1688,0.0233,0.0280,0.0632,0.0186,0.0028,0.0062
138,0.0268,0.0283,0.0607,0.0395,0.0912,0.0182,0.2038,0.0559,0.2079,0.2882,0.0514,0.2840,0.2779,0.0119,0.0055,0.0963
139,0.0340,0.0353,0.0551,0.0131,0.0190,0.0197,0.0609,0.0356,0.1395,0.2382,0.0099,0.0327,0.0698,0.0002,0.0130,0.0836
140,0.0228,0.0316,0.0596,0.0390,0.0784,0.0855,0.0666,0.0285,0.0620,0.0749,0.0106,0.1310,0.0000,0.0000,0.0000,0.0099
141,0.0090,0.0041,0.0227,0.0054,0.0214,0.0045,0.0252,0.0197,0.0122,0.1638,0.0187,0.0627,0.0000,0.0000,0.0000,0.0040
142,0.0120,0.0074,0.0033,0.0099,0.0736,0.0373,0.1792,0.0824,0.1355,0.2058,0.0593,0.1080,0.2516,0.0659,0.0604,0.0370
143,0.0190,0.0227,0.0651,0.0224,0.0726,0.0369,0.2033,0.0461,0.0804,0.2687,0.0430,0.0647,0.1482,0.0461,0.0370,0.0205
144,0.0374,0.0274,0.0636,0.1309,0.0339,0.0528,0.0570,0.0435,0.0966,0.3188,0.0632,0.0426,0.2722,0.0279,0.0468,0.0763
145,0.0226,0.0071,0.0407,0.0385,0.0746,0.0367,0.0855,0.0517,0.0591,0.1498,0.0537,0.1484,0.1748,0.0728,0.0808,0.0524
146,0.0014,0.0143,0.0214,0.0302,0.0257,0.0303,0.1788,0.1311,0.2291,0.3018,0.0786,0.1345,0.3041,0.1107,0.1985,0.0496
147,0.0242,0.0168,0.0312,0.0387,0.0594,0.0400,0.1294,0.0933,0.0731,0.1532,0.0895,0.0350,0.3508,0.1052,0.0830,0.0779
148,0.0121,0.0180,0.0203,0.0322,0.0744,0.0527,0.1372,0.0376,0.0411,0.4077,0.0923,0.0563,0.4510,0.1473,0.0975,0.1423
149,0.0090,0.0174,0.0439,0.0058,0.0667,0.0548,0.1074,0.0681,0.0172,0.2267,0.0392,0.0770,0.2031,0.1814,0.1826,0.1137
150,0.0249,0.0510,0.0615,0.0120,0.0833,0.0221,0.1779,0.0444,0.0411,0.1633,0.0358,0.0646,0.1028,0.0267,0.0541,0.0422
151,0.0108,0.0069,0.0229,0.0208,0.0515,0.0251,0.1347,0.2144,0.1019,0.3773,0.2124,0.1064,0.2416,0.1395,0.1692,0.0319
152,0.0222,0.0059,0.0120,0.0239,0.0333,0.0402,0.1817,0.2298,0.1336,0.1403,0.1001,0.0702,0.0820,0.0540,0.0763,0.0620
153,0.0128,0.0164,0.0400,0.0443,0.0760,0.0642,0.1049,0.0279,0.0600,0.1369,0.1775,0.0715,0.3851,0.1225,0.1714,0.0299
154,0.0083,0.0114,0.0273,0.0063,0.0120,0.0358,0.1916,0.0214,0.0476,0.1051,0.0441,0.0325,0.1995,0.0322,0.0775,0.0413
155,0.0311,0.0358,0.0779,0.0132,0.0812,0.0305,0.1564,0.0460,0.0720,0.2129,0.1709,0.0652,0.2771,0.0304,0.1444,0.0682
156,0.0116,0.0157,0.0584,0.0249,0.0685,0.0269,0.1549,0.0416,0.1021,0.2064,0.0360,0.0349,0.2313,0.0236,0.1428,0.0724
157,0.0128,0.0198,0.0495,0.0075,0.0416,0.0240,0.0987,0.0571,0.0710,0.2208,0.0712,0.1168,0.1204,0.0125,0.0253,0.0442
158,0.0060,0.0220,0.0312,0.0163,0.0636,0.0375,0.3091,0.0713,0.0701,0.1503,0.1103,0.0941,0.4026,0.0551,0.0583,0.1508
159,0.0041,0.0078,0.0086,0.0486,0.0235,0.0394,0.0630,0.0971,0.0643,0.1071,0.0789,0.0210,0.2309,0.1487,0.2320,0.0391
160,0.0192,0.0103,0.0265,0.0060,0.0092,0.0478,0.1152,0.0584,0.0616,0.0225,0.0079,0.0134,0.1878,0.0831,0.1077,0.1128
